      Jadeite
      Nestola F, Tribaudino M, Ballaran T B, Liebske C, Bruno M
      American Mineralogist 92 (2007) 1492-1501
      The crystal structures of pyroxenes along the jadeite - hedenbergite and
      jadeite - aegirine joins
      Locality: synthetic
      Sample: Jd100Ae0
      _database_code_amcsd 0004445
      CELL PARAMETERS:   9.4278  8.5651  5.2262   90.000  107.624   90.000
      SPACE GROUP: C2/c      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    402.208
      Density (g/cm3):      3.338
      MAX. ABS. INTENSITY / VOLUME**2:      7.605205862    
      RIR:      1.064
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                16.60          5.32        6.1997    1   1   0         4
                22.99          1.57        4.4926    2   0   0         2
                23.74         12.88        4.3522   -1   1   1         4
                24.13         20.89        4.2825    0   2   0         2
                29.30          1.20        3.5387    1   1   1         4
                32.00         13.54        3.2473    0   2   1         4
                33.57         11.13        3.0998    2   2   0         4
                35.71        100.00        2.9196   -2   2   1         4
                36.87         27.76        2.8304   -3   1   1         4
                36.92         43.45        2.8272    3   1   0         4
                41.50          3.98        2.5266   -2   0   2         2
                42.13         39.44        2.4905    0   0   2         2
                42.21         17.53        2.4857   -1   3   1         4
                43.51         32.83        2.4152    2   2   1         4
                45.79          1.08        2.3008    1   3   1         4
                47.94         14.17        2.2032    3   1   1         4
                48.96         16.10        2.1601    1   1   2         4
                49.14          9.32        2.1529    0   2   2         4
                51.30         12.97        2.0678   -3   3   1         4
                51.34          6.41        2.0666    3   3   0         4
                51.89          6.07        2.0460   -4   2   1         4
                53.31          6.35        1.9954   -4   0   2         2
                54.13         19.19        1.9672    0   4   1         4
                54.87          2.92        1.9430    2   0   2         2
                55.35          3.22        1.9272   -1   3   2         4
                56.64          5.74        1.8868   -2   4   1         4
                58.28          1.05        1.8382   -5  -1   1         4
                59.33          2.63        1.8087   -4   2   2         4
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
