      Fluoro-cannilloite
      Hawthorne F C, Oberti R, Ungaretti L, Grice J D
      American Mineralogist 81 (1996) 995-1002
      A new hyper-calcic amphibole with Ca at the A site: Fluor-cannilloite from
      Pargas, Finland
      Sample: C2
      _database_code_amcsd 0001824
      CELL PARAMETERS:   9.8260 17.9060  5.3010   90.000  105.410   90.000
      SPACE GROUP: C2/m      
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    899.150
      Density (g/cm3):      3.551
      MAX. ABS. INTENSITY / VOLUME**2:      5.425464612    
      RIR:      0.713
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                11.48        100.00        8.9530    0   2   0         2
                12.27          3.87        8.3732    1   1   0         4
                20.18          8.11        5.1104    0   0   1         2
                20.42          3.09        5.0498    1   3   0         4
                21.03          6.58        4.9044   -1   1   1         4
                21.79         22.88        4.7364    2   0   0         2
                23.27         22.30        4.4383    0   2   1         4
                24.69         14.49        4.1866    2   2   0         4
                25.53          5.87        4.0519   -2   0   1         2
                26.08          6.13        3.9674    1   1   1         4
                28.07         25.84        3.6914   -2   2   1         4
                30.83          3.10        3.3673    0   4   1         4
                30.88         73.34        3.3618    1   3   1         4
                31.00          9.93        3.3498    1   5   0         4
                31.94         79.80        3.2534    2   4   0         4
                33.46         36.67        3.1096    3   1   0         4
                33.69          5.72        3.0887    2   0   1         2
                34.34          4.60        3.0321   -3   1   1         4
                34.67          5.13        3.0040   -2   4   1         4
                35.57          2.90        2.9307   -1   5   1         4
                35.71         79.51        2.9198    2   2   1         4
                37.41         10.63        2.7911    3   3   0         4
                38.21         42.29        2.7346   -3   3   1         4
                38.90         81.80        2.6882    1   5   1         4
                40.65         71.61        2.5771    0   6   1         4
                41.11         77.07        2.5497   -2   0   2         2
                41.23          2.53        2.5423    2   4   1         4
                41.53          1.19        2.5249    2   6   0         4
                42.73          5.63        2.4571    0   2   2         4
                42.82          5.96        2.4522   -2   2   2         4
                43.68          3.09        2.4064   -4   0   1         2
                44.41         14.00        2.3684    3   5   0         4
                44.42          3.94        2.3682    4   0   0         2
                45.11         34.62        2.3336   -3   5   1         4
                45.31         34.86        2.3239   -4   2   1         4
                46.02          7.78        2.2899   -3   1   2         4
                46.03          2.71        2.2894    4   2   0         4
                46.10         24.64        2.2865   -1   7   1         4
                47.15          3.67        2.2384    3   3   1         4
                47.15          1.52        2.2383    0   8   0         2
                47.58          6.21        2.2191    0   4   2         4
                47.66         17.59        2.2155   -2   4   2         4
                49.13          4.11        2.1534   -3   3   2         4
                49.30         41.05        2.1462    2   6   1         4
                49.69          8.78        2.1305   -1   5   2         4
                49.96          1.26        2.1196   -4   4   1         4
                50.63          3.17        2.0933    4   4   0         4
                51.78          1.69        2.0502    0   8   1         4
                52.21         22.45        2.0343    2   0   2         2
                52.44         22.35        2.0259   -4   0   2         2
                52.51          3.89        2.0237    2   8   0         4
                53.12         17.28        2.0020    3   5   1         4
                53.53          7.98        1.9876    3   7   0         4
                53.65          3.90        1.9837    2   2   2         4
                53.87          1.83        1.9760   -4   2   2         4
                54.37          1.86        1.9592    4   0   1         2
                54.74          8.14        1.9471    1   9   0         4
                54.94          6.04        1.9405   -3   5   2         4
                55.00          1.17        1.9385   -2   6   2         4
                56.73          6.95        1.8840    5   1   0         4
                57.09          5.65        1.8733   -4   6   1         4
                57.65          1.89        1.8567   -5   3   1         4
                57.70          1.64        1.8551    4   6   0         4
                57.76         11.49        1.8535   -1   9   1         4
                58.02          9.96        1.8457   -4   4   2         4
                58.20          7.69        1.8406   -1   7   2         4
                59.43          3.47        1.8058    5   3   0         4
                59.99          2.03        1.7906    0  10   0         2
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
