      Paranatisite
      Sokolova E V, Hawthorne F C
      The Canadian Mineralogist 40 (2002) 947-960
      Reconsideration of the crystal structure of paranatisite and the crystal
      chemistry of [M2T2_12] sheets
      _database_code_amcsd 0005777
      CELL PARAMETERS:   9.1810  4.8000  9.8110   90.000   90.000   90.000
      SPACE GROUP: Pmc2_1    
      X-RAY WAVELENGTH:     1.790290
      Cell Volume:    432.359
      Density (g/cm3):      3.469
      MAX. ABS. INTENSITY / VOLUME**2:      23.65515975    
      RIR:      3.183
      RIR based on corundum from Acta Crystallographica A38 (1982) 733-739
               2-THETA      INTENSITY    D-SPACING   H   K   L   Multiplicity
                11.19         15.65        9.1810    1   0   0         2
                21.03         10.05        4.9055    0   0   2         1
                22.49          8.76        4.5905    2   0   0         2
                23.88         31.83        4.3266    1   0   2         2
                24.30         36.26        4.2537    1   1   0         4
                26.52          3.62        3.9027    1   1   1         4
                30.25          2.97        3.4308    0   1   2         2
                31.31          9.85        3.3176    2   1   0         4
                32.35          3.13        3.2137    1   1   2         4
                34.02          1.03        3.0603    3   0   0         2
                38.02        100.00        2.7481    2   1   2         4
                40.33          1.83        2.5965    3   0   2         2
                40.40          3.47        2.5927    1   1   3         4
                40.59          2.28        2.5805    3   1   0         4
                42.04          4.11        2.4956    3   1   1         4
                42.81         11.57        2.4527    0   0   4         1
                43.80          7.10        2.4000    0   2   0         2
                45.91          9.41        2.2952    4   0   0         2
                46.68          7.46        2.2596    1   2   1         4
                48.39          1.26        2.1841    0   1   4         2
                48.89          2.83        2.1633    2   0   4         2
                49.78          1.45        2.1269    2   2   0         4
                49.83          1.06        2.1248    1   1   4         4
                50.49          2.28        2.0987    1   2   2         4
                51.23          2.28        2.0707    4   1   0         4
                52.45          5.52        2.0258    3   1   3         4
                54.61          2.13        1.9513    2   2   2         4
                55.97          1.54        1.9077    4   1   2         4
                56.59          1.31        1.8885    3   2   0         4
                59.05          1.03        1.8163    0   1   5         2
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
